Refid,country,continent,st_design,farm?,setting,species,serotype,farm_serotype,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
1106,USA,North America,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,calf milk replacer,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,No samples were positive for Salmonella
1599,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Anatum,Anatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Anatum,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
1737,USA,North America,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Kentucky,"Muenchen,Kentucky,Newport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,"dry grain,Not specified","Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Muenchen,Kentucky,Newport","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
1738,USA,North America,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Anatum,"Montevideo,Anatum,Muenchen,Meleagridis,Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Montevideo,Anatum,Muenchen,Meleagridis,Kentucky","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
1738,USA,North America,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Kentucky,"Montevideo,Anatum,Muenchen,Meleagridis,Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Montevideo,Anatum,Muenchen,Meleagridis,Kentucky","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
1738,USA,North America,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Montevideo,"Montevideo,Anatum,Muenchen,Meleagridis,Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Montevideo,Anatum,Muenchen,Meleagridis,Kentucky","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
1919,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,"Not specified / any or all combined / Salmonella spp.,Newport,Cerro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,equipment,,"Prevalence / proportion positive,Results were combined among sample types","Not specified / any or all combined / Salmonella spp.,Newport,Cerro","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
2818,USA,North America,Clinical / field trial with natural disease exposure,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,"Not specified / any or all combined / Salmonella spp.,Montevideo,Anatum,Meleagridis,Rough",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"dry grain,corn silage","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Montevideo,Anatum,Meleagridis,Rough","Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,starling control,,,,,,,,,,,,
2818,USA,North America,Clinical / field trial with natural disease exposure,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Montevideo,"Not specified / any or all combined / Salmonella spp.,Montevideo,Anatum,Meleagridis,Rough",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"dry grain,corn silage","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Montevideo,Anatum,Meleagridis,Rough","Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,starling control,,,,,,,,,,,,
2818,USA,North America,Clinical / field trial with natural disease exposure,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Anatum,"Not specified / any or all combined / Salmonella spp.,Montevideo,Anatum,Meleagridis,Rough",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"dry grain,corn silage","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Montevideo,Anatum,Meleagridis,Rough","Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,starling control,,,,,,,,,,,,
3426,USA,North America,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,Total mixed ration (TMR),"Prevalence / proportion positive,Molecular characteristics",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
3445,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Enteritidis,Gallinarum,Saintpaul,Lexington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"Total mixed ration (TMR),Silage,Mixed grain","Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Enteritidis,Gallinarum,Saintpaul,Lexington","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,feed characteristics",,,,,,,,,,,,,"They sampled grain from a silo, but didn't specify if it was wet or dry grain or what kind of grain."
3445,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Senftenberg,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Enteritidis,Gallinarum,Saintpaul,Lexington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"Total mixed ration (TMR),Silage,Mixed grain","Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Enteritidis,Gallinarum,Saintpaul,Lexington","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,feed characteristics",,,,,,,,,,,,,"They sampled grain from a silo, but didn't specify if it was wet or dry grain or what kind of grain."
3445,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Enteritidis,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Enteritidis,Gallinarum,Saintpaul,Lexington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"Total mixed ration (TMR),Silage,Mixed grain","Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Enteritidis,Gallinarum,Saintpaul,Lexington","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,feed characteristics",,,,,,,,,,,,,"They sampled grain from a silo, but didn't specify if it was wet or dry grain or what kind of grain."
3785,USA,North America,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,"Not specified / any or all combined / Salmonella spp.,Newport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types","Not specified / any or all combined / Salmonella spp.,Newport","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Evaluation of interventions to reduce Salmonella,Outbreak investigation",,,,,separation of hospital and maternity pens,,,,,,,,,,,,
3900,USA,North America,Diagnostic test evaluation,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Enteritidis,"Not specified / any or all combined / Salmonella spp.,Enteritidis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,Silage,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator","Not specified / any or all combined / Salmonella spp.,Enteritidis","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Both natural and innoculated evaluated,,"Culture-based,DNA-based",,,,,,,,,,,,,,They also tested naturally contaminated feed samples from a dairy farm but none were positive. They also reported detection limits (Table 3).
3900,USA,North America,Diagnostic test evaluation,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,"Not specified / any or all combined / Salmonella spp.,Enteritidis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,Silage,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator","Not specified / any or all combined / Salmonella spp.,Enteritidis","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Both natural and innoculated evaluated,,"Culture-based,DNA-based",,,,,,,,,,,,,,They also tested naturally contaminated feed samples from a dairy farm but none were positive. They also reported detection limits (Table 3).
3987,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Anatum,Typhimurium,Cubana,Havana,Newport,Lexington,Oranienburg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,"dry grain,Hay,Silage,corn","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Anatum,Typhimurium,Cubana,Havana,Newport,Lexington,Oranienburg","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,farm characteristics,feed characteristics",,,,,,,,,,,,,"feeds were hay, dry corn, high-moisture corn, silage and mixed ingredients"
3987,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Senftenberg,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Anatum,Typhimurium,Cubana,Havana,Newport,Lexington,Oranienburg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,"dry grain,Hay,Silage,corn","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Anatum,Typhimurium,Cubana,Havana,Newport,Lexington,Oranienburg","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,farm characteristics,feed characteristics",,,,,,,,,,,,,"feeds were hay, dry corn, high-moisture corn, silage and mixed ingredients"
3987,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Anatum,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Anatum,Typhimurium,Cubana,Havana,Newport,Lexington,Oranienburg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,"dry grain,Hay,Silage,corn","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Anatum,Typhimurium,Cubana,Havana,Newport,Lexington,Oranienburg","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,farm characteristics,feed characteristics",,,,,,,,,,,,,"feeds were hay, dry corn, high-moisture corn, silage and mixed ingredients"
3987,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Anatum,Typhimurium,Cubana,Havana,Newport,Lexington,Oranienburg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,"dry grain,Hay,Silage,corn","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Anatum,Typhimurium,Cubana,Havana,Newport,Lexington,Oranienburg","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,farm characteristics,feed characteristics",,,,,,,,,,,,,"feeds were hay, dry corn, high-moisture corn, silage and mixed ingredients"
4066,USA,North America,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,environment,,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
4083,USA,North America,Challenge trial in natural setting (not lab),Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,milk (fed to calves),"Concentration,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,Pasteurizer,,,,,,,,,,,,
4235,USA,North America,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,environment,,"Prevalence / proportion positive,Odds ratios / risk ratios,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"geographic region,farm characteristics",,,,,,,,,,,,,
4428,USA,North America,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"dry grain,pelleted feed,Brewers,Rapeseed,Soybean meal,corn,Cottonseed,Beet pulp,Wheat,Corn / barley mix,Canola,Corn gluten,Grass seed","Prevalence / proportion positive,Survival time,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,,,,,
4574,USA,North America,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle",feed,"supplement,Not specified","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,"The risk factor analysis had the outcome ""veterinary-diagnosed clinical salmonellosis"" so it's not relevant to our review. The authors did not report which serotypes were found in the feed."
4939,USA,North America,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,poultry litter intended as feed,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,All samples were negative for Salmonella.
5461,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Muenchen,Meleagridis,Muenster,altona,Rough:gms:-,Rough:z:r6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Muenchen,Meleagridis,Muenster,altona,Rough:gms:-,Rough:z:r6","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,other",,,,,,,,,,,,,
5461,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Senftenberg,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Muenchen,Meleagridis,Muenster,altona,Rough:gms:-,Rough:z:r6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Muenchen,Meleagridis,Muenster,altona,Rough:gms:-,Rough:z:r6","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,other",,,,,,,,,,,,,
5461,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Mbandaka,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Muenchen,Meleagridis,Muenster,altona,Rough:gms:-,Rough:z:r6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Muenchen,Meleagridis,Muenster,altona,Rough:gms:-,Rough:z:r6","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,other",,,,,,,,,,,,,
5461,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Montevideo,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Muenchen,Meleagridis,Muenster,altona,Rough:gms:-,Rough:z:r6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Muenchen,Meleagridis,Muenster,altona,Rough:gms:-,Rough:z:r6","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,other",,,,,,,,,,,,,
9498,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,"poultry litter intended as feed,Soybean meal,corn silage,Total mixed ration (TMR),corn,Cottonseed","Prevalence / proportion positive,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,stack depth,,,,,,,,,,,,
12661,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Typhimurium,Thompson,Braenderup,Lille",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle",feed,"pelleted feed,mineral mix,Not specified,commercial feed, not otherwise specified,maize,dry forage,wet forage,dry byproduct,wet byproduct,grain,oil seeds,mixed feeds","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Typhimurium,Thompson,Braenderup,Lille","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,,,,,,,,,,,,
12661,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Senftenberg,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Typhimurium,Thompson,Braenderup,Lille",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle",feed,"pelleted feed,mineral mix,Not specified,commercial feed, not otherwise specified,maize,dry forage,wet forage,dry byproduct,wet byproduct,grain,oil seeds,mixed feeds","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Typhimurium,Thompson,Braenderup,Lille","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,,,,,,,,,,,,
12661,USA,North America,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Typhimurium,Thompson,Braenderup,Lille",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle",feed,"pelleted feed,mineral mix,Not specified,commercial feed, not otherwise specified,maize,dry forage,wet forage,dry byproduct,wet byproduct,grain,oil seeds,mixed feeds","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Typhimurium,Thompson,Braenderup,Lille","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,,,,,,,,,,,,
19469,USA,North America,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,poultry litter intended as feed,"Prevalence / proportion positive,Concentration",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella",,,,,,,,,,,,,,,,,
5025,USA,North America,Single group observational,Yes,On-farm (including farmed fish sites),Fish,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,"commercial feed, not otherwise specified",Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,All samples were negative for Salmonella.
5729,USA,North America,Diagnostic test evaluation,Yes,"Animal feed at retail,On-farm (including farmed fish sites)",Poultry,S. Typhimurium,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified,Turkeys,Other farmed poultry,Not reported",feed,"animal byproducts,calf milk replacer,commercial, not otherwise specified","Molecular characteristics,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Development of validation of methods for detection of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",Naturally infected,DNA-based,,"Poultry, not further specified",feed,Soybean meal,"Molecular characteristics,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Development of validation of methods for detection of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",Naturally infected,,DNA-based,,,,,,,,,,,,,,Not sure how to interpret the results regarding Salmonella as they are only given in figures.
4371,USA,North America,Single group observational,Yes,"Feed transportation (e.g. feed trucks),On-farm (including farmed fish sites)",Poultry,S. Worthington,"Worthington,Muenster",,,,,,,,,,,,,,,,,,Turkeys,"feed,equipment",Not reported,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,Turkeys,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Worthington,Muenster","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,"There were 2 positive samples from the farm: one Worthington, one Senftenberg. I couldn't find any information about isolates from the feed truck (they were lumped with other ""environmental samples"".  Assuming the augur is associated with the feed truck."
1109,Canada,North America,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,"equipment,environment",,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of interventions to reduce Salmonella",,,,,cleaning and disinfecting,,,,,,,,,,,,Serotypes not specifically reported for feed.
5232,Canada,North America,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,feed,Not specified,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
