Refid,country,st_design,setting,species,design,outcome,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
4734,USA,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Poultry,Molecular studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,
5043,"Canada,Australia,United Kingdom","Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Poultry,Molecular studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9257,Serbia,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Poultry,Molecular studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100,Nigeria,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Poultry,Molecular studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Commercial feed,"Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",Typhi,"Determining antimicrobial resistance,Determining serotypes present",,,,,,
12185,Bangladesh,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Poultry,Molecular studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,not reported,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,geographic region,,
1558,USA,Single group observational,Not Specified,Poultry,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle,Sheep,Goats,Swine,Poultry, not further specified",feed,"dry grain,Brewers,animal byproducts,mineral mix,Commercial feed,soybean meal","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Havana,Meleagridis,Give,Rissen,Newport,Amsterdam,Alachua,Soerenga,Brandenburg,Kentucky,Uganda,cerro,Cubana,Muenchen,Lille,Oranienburg,Schwarzengrund,Derby,Amager,Barranquilla,Bergen,Braenderup,Ealing,Gaminara,Gera,Hvittingfoss,I 6,7::1,5,I 6,7:k:,Idikan,Jodhpur,Lexington,Liverpool,Livingstone,Muenster,ohio,orion,Ouakam,Pomona,Roodepoort,Rough,Rubislaw,Thompson,Urbana,Worthington,21::e,n,x,3,19::z27,4212:nonmotile,42:z4,z23,6,7::1,5,6,7:d,8,20:poorly motile,Bredney,I 4,[5],12:i:-,Litchfield,Ruiru","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,
1757,Pakistan,Single group observational,Not Specified,Poultry,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,"animal byproducts,not reported","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Gallinarum,pullorum,paratyphoids","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,
2080,USA,Single group observational,Not Specified,Poultry,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Meleagridis,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,"For Q4, the answer should be ""Other: Agricultural Fair"""
4961,Germany,Single group observational,Not Specified,Poultry,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,not reported,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Mbandaka,Tennessee,Montevideo,Infantis,Agona,Enteritidis,Rissen,ohio,II,Virchow,Othmarschen,Grampian,Kivu,Newington,Mokola,Newlands,Ohlstedt,Weltevreden","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,"They reported feed from the manufacturer and on-farm feed together, and thus ""Not specified"" was selected for settings. They did not report the prevalence separately for feed from the manufacturer vs feed from the farm."
5394,USA,Single group observational,Not Specified,Poultry,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6228,Brazil,Single group observational,Not Specified,Poultry,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicken, not further specified",feed,not reported,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,
9429,Nigeria,Single group observational,Not Specified,Poultry,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,not reported,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,,,
10492,Not reported,Single group observational,Not Specified,Poultry,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,"not reported,Fish meal",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,All feed samples were negative for Salmonella.
18294,Not reported,Single group observational,Not Specified,Poultry,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,animal byproducts,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,All samples were negative for Salmonella.
11205,Nigeria,Clinical / field trial with natural disease exposure,On-farm,Rabbits,Clinical / field trial with natural disease exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rabbits raised for meat,feed,poultry litter intended as feed,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,heat treatment by deep stacking,,,,,,,,,,,,
419,Australia,Analytical observational,Feed Manufacturing Plant,Ruminants (Other),Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Poland,Analytical observational,Feed Manufacturing Plant,Ruminants (Other),Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2913,Great Britain,Analytical observational,Feed Manufacturing Plant,Ruminants (Other),Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5299,Sweden,Single group observational,Feed Transportation,Ruminants (Other),Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9813,Cyprus,Challenge trial in natural setting (not lab),Field Used to Grow Animal Feeds,Ruminants (Other),Challenge trial in natural setting,,"Sheep,Ruminants, not further specified",Crop in field,"Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,borehole water vs treated sewage effluent and first cutting vs second cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheep,feed,"wheat,corn","Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,ensiling,
97,USA,"Laboratory study (experimental, something manipulated)",On-farm,Ruminants (Other),Laboratory study (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruminants, not further specified",feed,poultry litter intended as feed,"Concentration,Survival time",Typhimurium,Evaluation of interventions to reduce Salmonella,,,,,nitro-treatment,,,,,,,,,,,,
3075,Great Britain,Analytical observational,Not Specified,Ruminants (Other),Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379,USA,Diagnostic test evaluation,Not Specified,Ruminants (Other),Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6478,Tunisia,"Laboratory study (experimental, something manipulated)",Not Specified,Ruminants (Other),Laboratory study (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruminants, not further specified",feed,Brewers,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,All of the samples were negative for Salmonella.
9743,Mexico,"Laboratory study (experimental, something manipulated)",Not Specified,Ruminants (Other),Laboratory study (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruminants, not further specified",feed,"premix,corn,Molasses,Corn bran,dry coffee pulp,sugar cane mash,alfalfa hay",Concentration,Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,
14516,USA,"Laboratory study (experimental, something manipulated)",Not Specified,Ruminants (Other),Laboratory study (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruminants, not further specified",feed,"silage,corn,poultry litter,forage","Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,ensiling,
2826,Spain,Analytical observational,Feed Manufacturing Plant,Sheep,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22529,Greece,Analytical observational,Feed Manufacturing Plant,Sheep,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9813,Cyprus,Challenge trial in natural setting (not lab),Field Used to Grow Animal Feeds,Sheep,Challenge trial in natural setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10089,Not reported,Clinical / field trial with natural disease exposure,Field Used to Grow Animal Feeds,Sheep,Clinical / field trial with natural disease exposure,,Sheep,"Crop in field,Soil",Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,dairy manure vs chemical fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only Experiment 2 is relevant.
5954,Iran,"Laboratory study (experimental, something manipulated)",On-farm,Sheep,Laboratory study (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheep,feed,poultry litter intended as feed,"Concentration,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,deep-stacking,,,,,,,,,,,,
1918,Australia,Single group observational,On-farm,Sheep,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3211,Spain,Single group observational,On-farm,Sheep,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheep,feed,Not specified,"Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",Not specified / any or all combined / Salmonella spp.,Outbreak investigation,,,,,,,,,,,,,,,,,
3075,Great Britain,Analytical observational,Not Specified,Sheep,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9813,Cyprus,Challenge trial in natural setting (not lab),Not Specified,Sheep,Challenge trial in natural setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11428,Not reported,Clinical / field trial with natural disease exposure,Not Specified,Sheep,Clinical / field trial with natural disease exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheep,feed,"silage,citrus pulp,poultry litter,corn forage","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,ensiling,
9119,Sweden,Diagnostic test evaluation,Not Specified,Sheep,Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12695,Not reported,"Laboratory study (experimental, something manipulated)",Not Specified,Sheep,Laboratory study (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheep,feed,"silage,sugar cane molasses,poultry litter,rumen contents","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,"deep stacking, ensiling",
1558,USA,Single group observational,Not Specified,Sheep,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5394,USA,Single group observational,Not Specified,Sheep,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16047,Not reported,Single group observational,Not Specified,Sheep,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,USA,Analytical observational,Feed Manufacturing Plant,Swine,Analytical observational,,,,,,,,,Swine,"feed,equipment,environment",pelleted feed,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,"geographic region,season, climate,plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Australia,Analytical observational,Feed Manufacturing Plant,Swine,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,USA,Analytical observational,Feed Manufacturing Plant,Swine,Analytical observational,,,,,,,,,Swine,"feed,equipment,environment","pelleted feed,Mash","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium,I 4,[5],12:i:-","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,"geographic region,season, climate,plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,USA,Analytical observational,Feed Manufacturing Plant,Swine,Analytical observational,,,,,,,,,Swine,"feed,equipment,environment","pelleted feed,Mash",Prevalence / proportion positive,"Not specified / any or all combined / Salmonella spp.,Typhimurium,I 4,[5],12:i:-,Newport","Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella,DO NOT USE Comparison of detection methods",,,"geographic region,plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This study seems awfully similar to the previous Ref ID #. Are they the same or do they have overlap?
1206,Poland,Analytical observational,Feed Manufacturing Plant,Swine,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Costa Rica,Analytical observational,Feed Manufacturing Plant,Swine,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Norway,Analytical observational,Feed Manufacturing Plant,Swine,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,Spain,Analytical observational,Feed Manufacturing Plant,Swine,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,Sweden,Analytical observational,Feed Manufacturing Plant,Swine,Analytical observational,,,,,,,,,Swine,feed,"Rapeseed,Soybean meal,corn products,palm kernel mea","Prevalence / proportion positive,Odds ratios / risk ratios,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,"plant characteristics,feed characteristics",,heat treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9943,United Kingdom,Analytical observational,Feed Manufacturing Plant,Swine,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22529,Greece,Analytical observational,Feed Manufacturing Plant,Swine,Analytical observational,,,,,,,,,"Cattle, not further specified,Sheep,Swine",feed,"pelleted feed,premix,Soybean meal,Sunflower meal,Wheat grain,maize,wheat bran,barley,citrus pulp,sugarbeet pulp,soya oil,fat,limestone,compound feeds",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2913,Great Britain,Analytical observational,Feed Manufacturing Plant,Swine,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,Sweden,Diagnostic test evaluation,Feed Manufacturing Plant,Swine,Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3232,Sweden,Diagnostic test evaluation,Feed Manufacturing Plant,Swine,Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Serbia,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Swine,Laboratory study (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5365,Not reported,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Swine,Laboratory study (experimental),,,,,,,,,Swine,feed,"Not reported,pelleted feed,Soybean meal,Wheat grain","Concentration,Survival time,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,sodium butyrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The heating experiment did not involve feed so it's not relevant to us.
9684,Hungary,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Swine,Laboratory study (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604,Serbia,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Swine,Laboratory study (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,USA,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Manufacturing Plant,Swine,Molecular studies,,,,,,,,,Swine,"feed,equipment,environment","pelleted feed,Commercial feed","Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Schwarzewngrund,Agona,Javiana,Typhimurium,Rissen,Hartford,Kiambu,I 4,[5],12:i:-,Barranquilla,Bareilly,Braenderup,Cubana,Soerenga,Worthington","Molecular characterization (descriptive),Comparison of AMR patterns between sources,Comparison of serotypes between sources,Comparison of molecular characterization between sources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prevalence data were collected from a previous (published) study, so I'm not extracting it here."
801,USA,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Manufacturing Plant,Swine,Molecular studies,,,,,,,,,Swine,"feed,equipment,environment","pelleted feed,Mash","Molecular characteristics,Antimicrobial resistance,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,Brazil,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Manufacturing Plant,Swine,Molecular studies,,,,,,,,,Swine,not specified,,"Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium","Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,Germany,Single group observational,Feed Manufacturing Plant,Swine,Single group observational,,,,,,,,,"Cattle, not further specified,Swine",feed,Rapeseed,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment",Infantis,Outbreak investigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Ireland,Single group observational,Feed Manufacturing Plant,Swine,Single group observational,,,,,,,,,Swine,feed,"Not reported,dry grain,pelleted feed,Soybean meal","Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","I 4,[5],12:i:-","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Comparison of AMR patterns between sources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3924,Switzerland,Single group observational,Feed Manufacturing Plant,Swine,Single group observational,,,,,,,,,Swine,"feed,environment","dry grain,Soybean meal",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They also did a quantitative risk assessment. All samples tested were negative for Salmonella.
4250,Belgium,Single group observational,Feed Manufacturing Plant,Swine,Single group observational,,,,,,,,,Swine,feed,Not reported,"Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Anatum,Typhimurium,Enteritidis,Derby,Ibadan","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4251,Switzerland,Single group observational,Feed Manufacturing Plant,Swine,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9109,Serbia,Single group observational,Feed Manufacturing Plant,Swine,Single group observational,,,,,,,,,Swine,feed,pelleted feed,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"All samples were negative for Salmonella. I'm not sure if they gave the denominator (maybe it's in the brackets in the right-hand column of the table, but if so, it isn't clear."
14663,India,Single group observational,Feed Manufacturing Plant,Swine,Single group observational,,,,,,,,,Swine,feed,animal byproducts,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All samples were negative for Salmonella.
16079,Germany,Single group observational,Feed Manufacturing Plant,Swine,Single group observational,,,,,,,,,Swine,"feed,environment",oil meal,Reported number of positive samples without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12183,USA,Analytical observational,Feed Transportation,Swine,Analytical observational,,,,,,,,,,,,,,,,,,,,Swine,"feed,environment","meat and bone meal,fish meal,corn,soybean meal,meat,bonemeal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Montevideo,Infantis,Oranienburg,Derby,Orion,rough,untypable 6,7
K-monophasic","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella","transportation characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5299,Sweden,Single group observational,Feed Transportation,Swine,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2189,United Kingdom,Analytical observational,On-farm,Swine,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13916,USA,Analytical observational,On-farm,Swine,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Brazil,Analytical observational,On-farm,Swine,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Typhimurium,Derby","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Comparison of AMR patterns between sources",,,,,,,,,,,,,,,,,
631,South Africa,Analytical observational,On-farm,Swine,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Molecular characterization (descriptive),Comparison of molecular characterization between sources",,,,,,,,,,,,,,,,,
