Refid,year,country,continent,setting,outcome,NR_outcomes,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
3449,2008,France,Europe,Not Specified,Serovar(s) Present,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic ducks,feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Typhimurium,Development of validation of methods for detection of Salmonella,Deliberately innoculated,,Culture-based,,,
4037,2004,Germany,Europe,Not Specified,Serovar(s) Present,"Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"not reported,Fish meal","Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium","Determining antimicrobial resistance,Determining serotypes present",,,,,,
4181,2003,United Kingdom,Europe,Not Specified,Serovar(s) Present,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,"mineral mix,soybean meal,Fish meal,wheat,oats,milk","Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,copper sulphate and organic acids,
4298,2003,Norway,Europe,Not Specified,Serovar(s) Present,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",,,,,,,,Fish / shellfish,"feed,environment","Not reported,corn products,Fish meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Tennessee,Montevideo,Anatum,Agona,Worthington,Enteritidis,Livingstone,Kentucky","Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,"not reported,Fish meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Montevideo,Schwarzewngrund,Anatum,Havana,Berta,cerro,Lille,Lexington,Livingstone,ohio,Stanley,Bere,6,7:b:-","Determining serotypes present,Molecular characterization (descriptive)",,,,,,"In the fish feed factories, environmental and feed samples were taken. In addition ""domestic and imported fish feed ingredients"" (source not reported) were included in this study."
4369,2002,Finland,Europe,Not Specified,Serovar(s) Present,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",,,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Agona,"Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Agona,"Molecular characterization (descriptive),Outbreak investigation",,,,,,Samples were taken from feed mills and there was also feed sampled from unspecified places
4388,2002,Italy,Europe,Not Specified,Serovar(s) Present,"Molecular characteristics,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified,Not reported",feed,not reported,"Molecular characteristics,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Agona","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,
4423,2002,Great Britain,Europe,Not Specified,Serovar(s) Present,"Results were combined among sample types,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Results were combined among sample types,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium,Dublin","Determining antimicrobial resistance,Determining serotypes present",,,,,,"AMR results were given by serotype, not by source of Salmonella so impossible to determine which AMR were for feed sources."
4475,2002,Belgium,Europe,Not Specified,Serovar(s) Present,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,I can't see any actual results reported specifically for feed.
4568,2001,Poland,Europe,Not Specified,Serovar(s) Present,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",Mbandaka,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,
4858,1999,Spain,Europe,Not Specified,Serovar(s) Present,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,not reported,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Typhimurium,Evaluation of interventions to reduce Salmonella,,,,,raw extract of Arthrinium strains,
4961,1998,Germany,Europe,Not Specified,Serovar(s) Present,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5043,1997,"Canada,Australia,United Kingdom",Europe,Not Specified,Serovar(s) Present,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified,Not reported",feed,"not reported,Bone meal,meat meal,cottonseed meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Eimsbuettel,Comparison of molecular characterization between sources,,,,,,
5048,1997,Greece,Europe,Not Specified,Serovar(s) Present,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Enteritidis,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,
5134,1996,Great Britain,Europe,Not Specified,Serovar(s) Present,"Molecular characteristics,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,
5179,1996,"Canada,Great Britain,Israel",Europe,Not Specified,Serovar(s) Present,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swine,Not reported",feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Livingstone,Molecular characterization (descriptive),,,,,,
6223,2005,Sweden,Europe,Not Specified,Serovar(s) Present,"Prevalence / proportion positive,Survival time,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,"feed,environment","silage,Grass","Prevalence / proportion positive,Survival time,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,ensiling,"Only experiments 1, 3 and 5 are relevant."
6531,2013,Sweden,Europe,Not Specified,Serovar(s) Present,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"rapeseed,palm kernel meal,soya","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Infantis,Agona,Putten,Cubana,Livingstone,Reading,Emek",Molecular characterization (descriptive),,,,,,"The other parts of the study did not involve feed, so they aren't relevant."
9119,2005,Sweden,Europe,Not Specified,Serovar(s) Present,"Prevalence / proportion positive,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Sheep,Swine,Laying hens,Chicken, not further specified","feed,equipment,environment","pelleted feed,not reported,rapeseed,soybean meal,Fish meal,wheat,Peas","Prevalence / proportion positive,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Agona,Typhimurium","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Deliberately innoculated,,"Culture-based,DNA-based,Enrichment methods",,,"All samples were tested prior to spiking and were found to be Salmonella negative. ""Not reported"" under Feed type covers ""scrapings"" from the feed mill."
9251,2000,Poland,Europe,Not Specified,Serovar(s) Present,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield","Determining serotypes present,Molecular characterization (descriptive)",,,,,,
9257,2012,Serbia,Europe,Not Specified,Serovar(s) Present,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified,Not reported",feed,"pelleted feed,not reported,Corn gluten,soya,meat meal","Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Agona,Enteritidis,Typhimurium,Thompson,Jerusalem,Stanleyville","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,
9267,2006,Slovenia,Europe,Not Specified,Serovar(s) Present,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens",feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Deliberately innoculated,,"DNA-based,Enrichment methods",,,
9406,2005,Lithuania,Europe,Not Specified,Serovar(s) Present,"Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"not reported,meat products,fish products","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Infantis,Agona,Enteritidis,Typhimurium,Derby,Indiana,Virchow,Coeln,Djugu,Eschweiler,B gr. (04),C gr. (07),R form","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,
9604,2017,Serbia,Europe,Not Specified,Serovar(s) Present,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified",feed,"Not reported,Soybean meal","None of the above,Serotype(s) present in food / food environment / food equipment",Tennessee,Evaluation of conditions associated with survival times,,,,surface type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Tennessee,Montevideo,Infantis,Agona,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,"Purpose of the study was biofilm forming ability of S. tennessee. For surface type, biofilm formation on a stainless steel surface is examined."
9812,2004,United Kingdom,Europe,Not Specified,Serovar(s) Present,"Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,"pelleted feed,animal byproducts,mineral mix,not reported,rapeseed,maise,wheat,compound feed,vegetable material","Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,heat treatment,
9842,2001,Slovenia,Europe,Not Specified,Serovar(s) Present,"Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of linkage to illness in humans",,,,,,"Ranked the most common serotypes, reported the percentage of Salmonella isolates, and the. PRCC between man, poultry and feedstuffs"
1128,2017,Austria,Europe,Not Specified,Survival Time,"Prevalence / proportion positive,Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173,2013,Spain,Europe,Not Specified,Survival Time,Survival time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"pelleted feed,Commercial feed",Survival time,Not specified / any or all combined / Salmonella spp.,"Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,Organic Acids and Temperature,
2295,2013,Sweden,Europe,Not Specified,Survival Time,"Concentration,Survival time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swine,Not reported",feed,"pelleted feed,Commercial feed,rapeseed,soybean meal,Compound mash feed","Concentration,Survival time","Senftenberg,Infantis,Typhimurium,Putten","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,organic acids,
2356,2013,United Kingdom,Europe,Not Specified,Survival Time,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4181,2003,United Kingdom,Europe,Not Specified,Survival Time,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4858,1999,Spain,Europe,Not Specified,Survival Time,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5393,2015,Sweden,Europe,Not Specified,Survival Time,"Concentration,Survival time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,insects,"Concentration,Survival time",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,black soldier fly,
6223,2005,Sweden,Europe,Not Specified,Survival Time,"Prevalence / proportion positive,Survival time,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9813,2003,Cyprus,Europe,Not Specified,Survival Time,"Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator","Sheep,Ruminants, not further specified",Crop in field,"Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,borehole water vs treated sewage effluent and first cutting vs second cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheep,feed,"wheat,corn","Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,ensiling,
1537,2016,Costa Rica,North America,Feed Manufacturing Plant,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,2016,"USA,Canada",North America,Feed Manufacturing Plant,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242,2013,USA,North America,Feed Manufacturing Plant,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,2020,USA,North America,Feed Manufacturing Plant,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510,2007,Canada,North America,Feed Manufacturing Plant,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,2018,USA,North America,Feed Manufacturing Plant,Antimicrobial Resistance,,,,,,,,,Swine,"feed,equipment,environment","pelleted feed,Mash","Molecular characteristics,Antimicrobial resistance,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,2017,USA,North America,Feed Manufacturing Plant,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,2016,"USA,Canada",North America,Feed Manufacturing Plant,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3993,2005,USA,North America,Feed Manufacturing Plant,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5205,1996,USA,North America,Feed Manufacturing Plant,Concentration,"Survival time,Serotype(s) present in food / food environment / food equipment",,,,,,,,Turkeys,feed,"pelleted feed,Mash",Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,conditioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,feed,Mash,"Survival time,Serotype(s) present in food / food environment / food equipment","Enteritidis,Typhimurium,Haardt","Estimating survival time of Salmonella,Evaluation of conditions associated with survival times",,"temperature,humidity",,,,
332,2020,USA,North America,Feed Manufacturing Plant,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510,2007,Canada,North America,Feed Manufacturing Plant,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,2018,USA,North America,Feed Manufacturing Plant,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2020,USA,North America,Feed Manufacturing Plant,Prevalence,,,,,,,,,Swine,"feed,equipment,environment",pelleted feed,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,"geographic region,season, climate,plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,2016,Costa Rica,North America,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,2016,USA,North America,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,2016,"USA,Canada",North America,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19919,1998,USA,North America,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242,2013,USA,North America,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3052,2010,USA,North America,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510,2007,Canada,North America,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4141,2004,USA,North America,Feed Manufacturing Plant,Prevalence,,,,,,,,,Not reported,"feed,equipment,environment","pelleted feed,Brewers,animal byproducts,Commercial feed,Mash,Soybean meal,cottonseed meal,corn products,Wheat grain,Fish meal,Whey",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,"season, climate,plant characteristics,feed characteristics,other",,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day of the week was another risk factor examined.
4234,2003,USA,North America,Feed Manufacturing Plant,Prevalence,,,,,,,,,Dairy cattle,feed,Not reported,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"pelleted feed,recycled food products,Not specified,Hay,corn silage,Silage,corn,Cottonseed,Straw,Beet pulp,fishmeal,pea flour","Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Typhimurium,Meleagridis,Braenderup,Cerro","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,All feed mill samples were negative for Salmonella. The AMR results for feed were lumped with other environmental samples.
723,2019,USA,North America,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,2019,USA,North America,Feed Manufacturing Plant,Prevalence,,,,,,,,,Swine,"feed,equipment,environment","pelleted feed,Mash",Prevalence / proportion positive,"Not specified / any or all combined / Salmonella spp.,Typhimurium,I 4,[5],12:i:-,Newport","Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella,DO NOT USE Comparison of detection methods",,,"geographic region,plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This study seems awfully similar to the previous Ref ID #. Are they the same or do they have overlap?
7948,2016,USA,North America,Feed Manufacturing Plant,Prevalence,,,,,,,,,"Dairy cattle,Beef cattle,Not reported",feed,"Not reported,Brewers,animal byproducts,cottonseed meal,corn products",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Development or validation of surveillance methods,Estimating prevalence of Salmonella",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,2018,Costa Rica,North America,Feed Manufacturing Plant,Prevalence,,,,,,,,,Not reported,feed,animal byproducts,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella,Comparison of prevalence between sources",,,feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,2017,USA,North America,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,feed,animal byproducts,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment","Senftenberg,Enteritidis,Gallinarum","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,2016,Costa Rica,North America,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,"Swine,Poultry, not further specified,Not reported",feed,"Not reported,dry grain,animal byproducts,Soybean meal","Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Anatum,Infantis,Amsterdam,Give,Rissen,Soerenga,Havana,Schwarzengrund,Muenster,Newport,Alachua,Berta,Yoruba,Brandenburg,Manchester,Molade,Rough","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Comparison of AMR patterns between sources,Comparison of serotypes between sources,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,2016,USA,North America,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,feed,"dry grain,wet grain","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Montevideo,Infantis,Rissen,Uganda,Altona","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of serotypes between sources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,2016,"USA,Canada",North America,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,feed,animal byproducts,"Prevalence / proportion positive,Concentration,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Infantis,Orion,Rissen,Cerro,Livingstone,Muenster,Group C1","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19919,1998,USA,North America,Feed Manufacturing Plant,Serovar(s) Present,,Not reported,,,,,,,,feed,animal byproducts,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Bredeney","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 582-583 of the PDF
