Refid,User,Level,year,country,continent,st_design,setting,species,outcome,NR_species,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
4328,"SarahTotton,Mikalya_Plishka",3,2003,Denmark,Europe,"Laboratory study (experimental, something manipulated)",On-farm (including farmed fish sites),Poultry,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,pelleted feed,"Concentration,Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Infantis,Typhimurium,Enteritidis","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,temperature,,,,,,,,,,,,
4328,"SarahTotton,Mikalya_Plishka",3,2003,Denmark,Europe,"Laboratory study (experimental, something manipulated)",On-farm (including farmed fish sites),Poultry,Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,pelleted feed,"Concentration,Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Infantis,Typhimurium,Enteritidis","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,temperature,,,,,,,,,,,,
4348,"SarahTotton,Mikalya_Plishka",3,2002,USA,North America,Single group observational,On-farm (including farmed fish sites),Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,All 221 feed samples were negative for Salmonella.
4349,"SarahTotton,Mikalya_Plishka",3,2002,Botswana,Africa,Single group observational,Not specified,Cattle or Buffalo,Prevalence,"Cattle, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4349,"SarahTotton,Mikalya_Plishka",3,2002,Botswana,Africa,Single group observational,Not specified,Cattle or Buffalo,Serotype(s) Present,"Cattle, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Anatum,Reading,Kedougou","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,The feed samples were collected from an abattoir. I figured out the serotypes by crossreferencing Table 3 and Table 5.
4352,"SarahTotton,Mikalya_Plishka",3,2002,Not reported,Not Reported,"Laboratory study (experimental, something manipulated)",Not specified,Swine,Concentration,Swine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4352,"SarahTotton,Mikalya_Plishka",3,2002,Not reported,Not Reported,"Laboratory study (experimental, something manipulated)",Not specified,Swine,Serotype(s) Present,Swine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,"soybean meal,Fish meal,wheat,oats,milk","Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of conditions associated with survival times",,temperature,,,,
4352,"SarahTotton,Mikalya_Plishka",3,2002,Not reported,Not Reported,"Laboratory study (experimental, something manipulated)",Not specified,Swine,Survival Time,Swine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4365,"SarahTotton,Mikalya_Plishka",3,2002,Belgium,Europe,Single group observational,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,"feed,environment",Not specified,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Naturally infected,,Enrichment methods,,,,,,,,,,,,,,
4369,"SarahTotton,Ellen_Vriezen",3,2002,Finland,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)","Feed manufacturing plant,Not specified",Not Reported,Molecular Characteristics,Not reported,,,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Agona,"Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4369,"SarahTotton,Ellen_Vriezen",3,2002,Finland,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)","Feed manufacturing plant,Not specified",Not Reported,Molecular Characteristics,Not reported,,,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Agona,"Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4369,"SarahTotton,Ellen_Vriezen",3,2002,Finland,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)","Feed manufacturing plant,Not specified",Not Reported,Serotype(s) Present,Not reported,,,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Agona,"Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Agona,"Molecular characterization (descriptive),Outbreak investigation",,,,,,Samples were taken from feed mills and there was also feed sampled from unspecified places
4371,"SarahTotton,Ellen_Vriezen",3,2002,USA,North America,Single group observational,"Feed transportation (e.g. feed trucks),On-farm (including farmed fish sites)",Poultry,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,Turkeys,"feed,equipment",Not reported,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,Turkeys,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Worthington,Muenster","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,"There were 2 positive samples from the farm: one Worthington, one Senftenberg. I couldn't find any information about isolates from the feed truck (they were lumped with other ""environmental samples"".  Assuming the augur is associated with the feed truck."
4371,"SarahTotton,Ellen_Vriezen",3,2002,USA,North America,Single group observational,"Feed transportation (e.g. feed trucks),On-farm (including farmed fish sites)",Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,Turkeys,"feed,equipment",Not reported,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,Turkeys,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Worthington,Muenster","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,"There were 2 positive samples from the farm: one Worthington, one Senftenberg. I couldn't find any information about isolates from the feed truck (they were lumped with other ""environmental samples"".  Assuming the augur is associated with the feed truck."
4371,"SarahTotton,Ellen_Vriezen",3,2002,USA,North America,Single group observational,"Feed transportation (e.g. feed trucks),On-farm (including farmed fish sites)",Poultry,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,Turkeys,"feed,equipment",Not reported,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,Turkeys,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Worthington,Muenster","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,"There were 2 positive samples from the farm: one Worthington, one Senftenberg. I couldn't find any information about isolates from the feed truck (they were lumped with other ""environmental samples"".  Assuming the augur is associated with the feed truck."
4388,"SarahTotton,Ellen_Vriezen",3,2002,Italy,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Poultry,Molecular Characteristics,"Poultry, not further specified,Not reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4388,"SarahTotton,Ellen_Vriezen",3,2002,Italy,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Poultry,Serotype(s) Present,"Poultry, not further specified,Not reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified,Not reported",feed,not reported,"Molecular characteristics,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Agona","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,
4388,"SarahTotton,Ellen_Vriezen",3,2002,Italy,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Not Reported,Molecular Characteristics,"Poultry, not further specified,Not reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4388,"SarahTotton,Ellen_Vriezen",3,2002,Italy,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Not Reported,Serotype(s) Present,"Poultry, not further specified,Not reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified,Not reported",feed,not reported,"Molecular characteristics,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Agona","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,
4395,"SarahTotton,Ellen_Vriezen",3,2002,Kenya,Africa,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm (including farmed fish sites),Poultry,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Soya feed supplements,"Molecular characteristics,Results were combined among sample types,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis,Braenderup","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Evaluation of linkage to illness in humans",,,,,,,,,,,,,,,,,
4395,"SarahTotton,Ellen_Vriezen",3,2002,Kenya,Africa,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm (including farmed fish sites),Poultry,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Soya feed supplements,"Molecular characteristics,Results were combined among sample types,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis,Braenderup","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Evaluation of linkage to illness in humans",,,,,,,,,,,,,,,,,
4418,"SarahTotton,Ellen_Vriezen",3,2002,Brazil,South America,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Not Reported,Serotype(s) Present,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,Serotype(s) present in food / food environment / food equipment,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Infantis,Agona,Enteritidis,Typhimurium,ohio,Rough",Determining serotypes present,,,,,,
4423,"jan.sargeant,SarahTotton",3,2002,Great Britain,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Not Reported,Serotype(s) Present,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Results were combined among sample types,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium,Dublin","Determining antimicrobial resistance,Determining serotypes present",,,,,,"AMR results were given by serotype, not by source of Salmonella so impossible to determine which AMR were for feed sources."
4428,"jan.sargeant,SarahTotton",3,2002,USA,North America,Single group observational,On-farm (including farmed fish sites),Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"dry grain,pelleted feed,Brewers,Rapeseed,Soybean meal,corn,Cottonseed,Beet pulp,Wheat,Corn / barley mix,Canola,Corn gluten,Grass seed","Prevalence / proportion positive,Survival time,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,,,,,
4429,"SarahTotton,Ellen_Vriezen",3,2002,Spain,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Not Reported,Antimicrobial Resistance,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"animal byproducts,not reported",Antimicrobial resistance,Not specified / any or all combined / Salmonella spp.,Determining antimicrobial resistance,,,,,,
4441,"SarahTotton,Ellen_Vriezen",3,2002,Not reported,Not Reported,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed manufacturing plant,Poultry,Molecular Characteristics,,,,,,,,,Broiler chickens,not specified,,"Molecular characteristics,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment","4,12:d:-,Enteritidis,Kedougou,Agama,Binza","Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4441,"SarahTotton,Ellen_Vriezen",3,2002,Not reported,Not Reported,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed manufacturing plant,Poultry,Serotype(s) Present,,,,,,,,,Broiler chickens,not specified,,"Molecular characteristics,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment","4,12:d:-,Enteritidis,Kedougou,Agama,Binza","Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4473,"SarahTotton,Ellen_Vriezen",3,2002,Taiwan,Asia,Diagnostic test evaluation,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis",Development of validation of methods for detection of Salmonella,Naturally infected,,DNA-based,,,,,,,,,,,,,,"The feed samples were all negative, so there was nothing to detect."
4473,"SarahTotton,Ellen_Vriezen",3,2002,Taiwan,Asia,Diagnostic test evaluation,On-farm (including farmed fish sites),Poultry,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis",Development of validation of methods for detection of Salmonella,Naturally infected,,DNA-based,,,,,,,,,,,,,,"The feed samples were all negative, so there was nothing to detect."
4475,"SarahTotton,Ellen_Vriezen",3,2002,Belgium,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Not Reported,Serotype(s) Present,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,I can't see any actual results reported specifically for feed.
4476,"SarahTotton,Ellen_Vriezen",3,2002,Brazil,South America,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm (including farmed fish sites),Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,"feed,environment",Not specified,"Antimicrobial resistance,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Typhimurium,Sandiego","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
4476,"SarahTotton,Ellen_Vriezen",3,2002,Brazil,South America,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm (including farmed fish sites),Swine,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,"feed,environment",Not specified,"Antimicrobial resistance,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Typhimurium,Sandiego","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
4509,"SarahTotton,Ellen_Vriezen",3,2001,USA,North America,Single group observational,On-farm (including farmed fish sites),Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Mbandaka,Typhimurium","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
4509,"SarahTotton,Ellen_Vriezen",3,2001,USA,North America,Single group observational,On-farm (including farmed fish sites),Swine,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Mbandaka,Typhimurium","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
4514,"SarahTotton,Ellen_Vriezen",3,2001,USA,North America,Single group observational,Feed transportation (e.g. feed trucks),Poultry,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Oranienburg,Schwarzengrund,Livingstone,arkansas,Roterberg,Brandenburg","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4514,"SarahTotton,Ellen_Vriezen",3,2001,USA,North America,Single group observational,Feed transportation (e.g. feed trucks),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Oranienburg,Schwarzengrund,Livingstone,arkansas,Roterberg,Brandenburg","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4514,"SarahTotton,Ellen_Vriezen",3,2001,USA,North America,Single group observational,Feed transportation (e.g. feed trucks),Poultry,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Oranienburg,Schwarzengrund,Livingstone,arkansas,Roterberg,Brandenburg","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"After discussion with Ellen, we decided to extract this as feed transportation rather than feed mill as they sampled the feed at the feed mill while it was being offloaded (presumably from trucks)"
4515,"SarahTotton,Ellen_Vriezen",3,2001,Mexico,North America,"Laboratory study (experimental, something manipulated)",Not specified,Not Reported,Prevalence,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4515,"SarahTotton,Ellen_Vriezen",3,2001,Mexico,North America,"Laboratory study (experimental, something manipulated)",Not specified,Not Reported,Serotype(s) Present,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,silage,"Prevalence / proportion positive,Survival time,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Choleraesuis","Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,ensilage,"Salmonella choleraesuis. For prevalence estimates, denominators are in Table 1."
4515,"SarahTotton,Ellen_Vriezen",3,2001,Mexico,North America,"Laboratory study (experimental, something manipulated)",Not specified,Not Reported,Survival Time,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4525,"SarahTotton,Ellen_Vriezen",3,2001,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Reported,Serotype(s) Present,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,animal byproducts,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment",Typhimurium,Development of validation of methods for detection of Salmonella,Deliberately innoculated,,"DNA-based,Enrichment methods",,,Typhimurium was the only serotype used in the feed experiments. Sensitivity and specificity were other outcomes.
4544,"Ellen_Vriezen,Mikalya_Plishka",3,2001,Not reported,Not Reported,Single group observational,Feed manufacturing plant,Poultry,Prevalence,,,,,,,,,Broiler chickens,"feed,equipment,environment",dry grain,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Montevideo,Agona,4,12:d:-,Typhimurium,Braenderup,Enteritidis,Kedougou,Havana,Ohio,Derby,Kottbus,Newport,Indiana,Hadar,Agama,Ajiobo,Binza,Stourbridge,6,7:z:1,5,S6,7.k.-,S6,7.-.-","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of serotypes between sources,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4544,"Ellen_Vriezen,Mikalya_Plishka",3,2001,Not reported,Not Reported,Single group observational,Feed manufacturing plant,Poultry,Serotype(s) Present,,,,,,,,,Broiler chickens,"feed,equipment,environment",dry grain,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Montevideo,Agona,4,12:d:-,Typhimurium,Braenderup,Enteritidis,Kedougou,Havana,Ohio,Derby,Kottbus,Newport,Indiana,Hadar,Agama,Ajiobo,Binza,Stourbridge,6,7:z:1,5,S6,7.k.-,S6,7.-.-","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of serotypes between sources,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4568,"SarahTotton,Ellen_Vriezen",3,2001,Poland,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Not Reported,Antimicrobial Resistance,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4568,"SarahTotton,Ellen_Vriezen",3,2001,Poland,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Not Reported,Molecular Characteristics,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4568,"SarahTotton,Ellen_Vriezen",3,2001,Poland,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Not Reported,Serotype(s) Present,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",Mbandaka,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,
4571,"SarahTotton,Mikalya_Plishka",3,2001,Japan,Asia,Analytical observational,On-farm (including farmed fish sites),Poultry,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Infantis,Enteritidis,Thompson,Orion,Corvallis,Derby,LIvingstone,Lexington,Ohio,Cerro,Bareilly,Amersfoort,Georgia,Jerusalem,Adabraka,Suberu,Slade","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
4571,"SarahTotton,Mikalya_Plishka",3,2001,Japan,Asia,Analytical observational,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Infantis,Enteritidis,Thompson,Orion,Corvallis,Derby,LIvingstone,Lexington,Ohio,Cerro,Bareilly,Amersfoort,Georgia,Jerusalem,Adabraka,Suberu,Slade","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
4571,"SarahTotton,Mikalya_Plishka",3,2001,Japan,Asia,Analytical observational,On-farm (including farmed fish sites),Poultry,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Infantis,Enteritidis,Thompson,Orion,Corvallis,Derby,LIvingstone,Lexington,Ohio,Cerro,Bareilly,Amersfoort,Georgia,Jerusalem,Adabraka,Suberu,Slade","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
4574,"jan.sargeant,SarahTotton,Ellen_Vriezen,Mikalya_Plishka",3,2001,USA,North America,Single group observational,On-farm (including farmed fish sites),Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle",feed,"supplement,Not specified","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,"The risk factor analysis had the outcome ""veterinary-diagnosed clinical salmonellosis"" so it's not relevant to our review. The authors did not report which serotypes were found in the feed."
4586,"SarahTotton,Mikalya_Plishka",3,2001,Greece,Europe,Analytical observational,On-farm (including farmed fish sites),Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Tennessee","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
