Refid,country,st_design,setting,species,outcome,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
3075,Great Britain,Analytical observational,Not Specified,Ruminants (Other),Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9743,Mexico,"Laboratory study (experimental, something manipulated)",Not Specified,Ruminants (Other),Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruminants, not further specified",feed,"premix,corn,Molasses,Corn bran,dry coffee pulp,sugar cane mash,alfalfa hay",Concentration,Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,
3075,Great Britain,Analytical observational,Not Specified,Ruminants (Other),Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3075,Great Britain,Analytical observational,Not Specified,Ruminants (Other),Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379,USA,Diagnostic test evaluation,Not Specified,Ruminants (Other),Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14516,USA,"Laboratory study (experimental, something manipulated)",Not Specified,Ruminants (Other),Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruminants, not further specified",feed,"silage,corn,poultry litter,forage","Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,ensiling,
2826,Spain,Analytical observational,Feed Manufacturing Plant,Sheep,OR/RR/HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,Spain,Analytical observational,Feed Manufacturing Plant,Sheep,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22529,Greece,Analytical observational,Feed Manufacturing Plant,Sheep,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,Spain,Analytical observational,Feed Manufacturing Plant,Sheep,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9813,Cyprus,Challenge trial in natural setting (not lab),Field Used to Grow Animal Feeds,Sheep,Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5954,Iran,"Laboratory study (experimental, something manipulated)",On-farm,Sheep,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheep,feed,poultry litter intended as feed,"Concentration,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,deep-stacking,,,,,,,,,,,,
1918,Australia,Single group observational,On-farm,Sheep,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3211,Spain,Single group observational,On-farm,Sheep,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheep,feed,Not specified,"Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",Not specified / any or all combined / Salmonella spp.,Outbreak investigation,,,,,,,,,,,,,,,,,
1558,USA,Single group observational,Not Specified,Sheep,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3075,Great Britain,Analytical observational,Not Specified,Sheep,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,USA,Single group observational,Not Specified,Sheep,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,USA,Single group observational,Not Specified,Sheep,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3075,Great Britain,Analytical observational,Not Specified,Sheep,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5394,USA,Single group observational,Not Specified,Sheep,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9119,Sweden,Diagnostic test evaluation,Not Specified,Sheep,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,USA,Single group observational,Not Specified,Sheep,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3075,Great Britain,Analytical observational,Not Specified,Sheep,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5394,USA,Single group observational,Not Specified,Sheep,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9119,Sweden,Diagnostic test evaluation,Not Specified,Sheep,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9813,Cyprus,Challenge trial in natural setting (not lab),Not Specified,Sheep,Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,USA,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Manufacturing Plant,Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,USA,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Manufacturing Plant,Swine,Antimicrobial Resistance,,,,,,,,Swine,"feed,equipment,environment","pelleted feed,Mash","Molecular characteristics,Antimicrobial resistance,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Costa Rica,Analytical observational,Feed Manufacturing Plant,Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Ireland,Single group observational,Feed Manufacturing Plant,Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,Brazil,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Manufacturing Plant,Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5365,Not reported,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,Sweden,Diagnostic test evaluation,Feed Manufacturing Plant,Swine,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3232,Sweden,Diagnostic test evaluation,Feed Manufacturing Plant,Swine,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5365,Not reported,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Swine,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,USA,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Manufacturing Plant,Swine,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,USA,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Manufacturing Plant,Swine,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Serbia,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Swine,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5365,Not reported,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Swine,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Australia,Analytical observational,Feed Manufacturing Plant,Swine,OR/RR/HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,Spain,Analytical observational,Feed Manufacturing Plant,Swine,OR/RR/HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,Sweden,Analytical observational,Feed Manufacturing Plant,Swine,OR/RR/HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,USA,Analytical observational,Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,Swine,"feed,equipment,environment",pelleted feed,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,"geographic region,season, climate,plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Australia,Analytical observational,Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,USA,Analytical observational,Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,USA,Analytical observational,Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,Swine,"feed,equipment,environment","pelleted feed,Mash",Prevalence / proportion positive,"Not specified / any or all combined / Salmonella spp.,Typhimurium,I 4,[5],12:i:-,Newport","Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella,DO NOT USE Comparison of detection methods",,,"geographic region,plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This study seems awfully similar to the previous Ref ID #. Are they the same or do they have overlap?
1487,Serbia,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Costa Rica,Analytical observational,Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Ireland,Single group observational,Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Norway,Analytical observational,Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,Spain,Analytical observational,Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,Sweden,Analytical observational,Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3924,Switzerland,Single group observational,Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,Swine,"feed,environment","dry grain,Soybean meal",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They also did a quantitative risk assessment. All samples tested were negative for Salmonella.
4250,Belgium,Single group observational,Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4251,Switzerland,Single group observational,Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9943,United Kingdom,Analytical observational,Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22529,Greece,Analytical observational,Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,"Cattle, not further specified,Sheep,Swine",feed,"pelleted feed,premix,Soybean meal,Sunflower meal,Wheat grain,maize,wheat bran,barley,citrus pulp,sugarbeet pulp,soya oil,fat,limestone,compound feeds",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2913,Great Britain,Analytical observational,Feed Manufacturing Plant,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,USA,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,Swine,"feed,equipment,environment","pelleted feed,Commercial feed","Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Schwarzewngrund,Agona,Javiana,Typhimurium,Rissen,Hartford,Kiambu,I 4,[5],12:i:-,Barranquilla,Bareilly,Braenderup,Cubana,Soerenga,Worthington","Molecular characterization (descriptive),Comparison of AMR patterns between sources,Comparison of serotypes between sources,Comparison of molecular characterization between sources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prevalence data were collected from a previous (published) study, so I'm not extracting it here."
419,Australia,Analytical observational,Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,USA,Analytical observational,Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,Swine,"feed,equipment,environment","pelleted feed,Mash","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium,I 4,[5],12:i:-","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,"geographic region,season, climate,plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Poland,Analytical observational,Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Costa Rica,Analytical observational,Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,Germany,Single group observational,Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,"Cattle, not further specified,Swine",feed,Rapeseed,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment",Infantis,Outbreak investigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Ireland,Single group observational,Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,Swine,feed,"Not reported,dry grain,pelleted feed,Soybean meal","Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","I 4,[5],12:i:-","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Comparison of AMR patterns between sources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,Brazil,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,Swine,not specified,,"Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium","Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Norway,Analytical observational,Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,Spain,Analytical observational,Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,Sweden,Diagnostic test evaluation,Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,Sweden,Analytical observational,Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,Swine,feed,"Rapeseed,Soybean meal,corn products,palm kernel mea","Prevalence / proportion positive,Odds ratios / risk ratios,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,"plant characteristics,feed characteristics",,heat treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3232,Sweden,Diagnostic test evaluation,Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4250,Belgium,Single group observational,Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,Swine,feed,Not reported,"Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Anatum,Typhimurium,Enteritidis,Derby,Ibadan","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5365,Not reported,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,Swine,feed,"Not reported,pelleted feed,Soybean meal,Wheat grain","Concentration,Survival time,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,sodium butyrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The heating experiment did not involve feed so it's not relevant to us.
9684,Hungary,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604,Serbia,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2913,Great Britain,Analytical observational,Feed Manufacturing Plant,Swine,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5365,Not reported,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Swine,Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5299,Sweden,Single group observational,Feed Transportation,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12183,USA,Analytical observational,Feed Transportation,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5299,Sweden,Single group observational,Feed Transportation,Swine,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12183,USA,Analytical observational,Feed Transportation,Swine,Serovar(s) Present,,,,,,,,,,,,,,,,,,,Swine,"feed,environment","meat and bone meal,fish meal,corn,soybean meal,meat,bonemeal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Montevideo,Infantis,Oranienburg,Derby,Orion,rough,untypable 6,7
K-monophasic","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella","transportation characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Viet Nam,Single group observational,On-farm,Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Brazil,Analytical observational,On-farm,Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055,USA,Clinical / field trial with natural disease exposure,On-farm,Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2218,USA,Analytical observational,On-farm,Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2844,South Korea,Single group observational,On-farm,Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,Not reported,Analytical observational,On-farm,Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,"dry grain,pelleted feed","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
4476,Brazil,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm,Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4586,Greece,Analytical observational,On-farm,Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Viet Nam,Single group observational,On-farm,Swine,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Brazil,Analytical observational,On-farm,Swine,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2218,USA,Analytical observational,On-farm,Swine,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,Brazil,Single group observational,On-farm,Swine,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2844,South Korea,Single group observational,On-farm,Swine,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,Not reported,Analytical observational,On-farm,Swine,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,USA,Single group observational,On-farm,Swine,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Molecular characteristics,Results were combined among sample types,Reported number of positive samples without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,"This is also an in silico study. Serotypes were presented lumped together. Molecular data for feed was presented separately. Only reported the # positive feed samples, not denominator."
9585,Thailand,Analytical observational,On-farm,Swine,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,feed characteristics",,,,,,,,,,,,,
2189,United Kingdom,Analytical observational,On-farm,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13916,USA,Analytical observational,On-farm,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Viet Nam,Single group observational,On-farm,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Brazil,Single group observational,On-farm,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
383,Brazil,Analytical observational,On-farm,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Not reported,Single group observational,On-farm,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055,USA,Clinical / field trial with natural disease exposure,On-farm,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2218,USA,Analytical observational,On-farm,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,Brazil,Single group observational,On-farm,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2844,South Korea,Single group observational,On-farm,Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
