Refid,User,Level,year,country,continent,st_design,NR?,setting,species,serotype,NR_serotype,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
5033,"SarahTotton,Ellen_Vriezen",3,1997,Canada,North America,Diagnostic test evaluation,Yes,Not specified,Not Reported,S. Tennessee,"Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Anatum,Infantis,Typhimurium,Heidelberg,Meleagridis,Alachua,Kentucky,Cubana,orion,California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"pelleted feed,animal byproducts,soybean meal,Fish meal,Bone meal,Mash,meat meal,Canola meal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Anatum,Infantis,Typhimurium,Heidelberg,Meleagridis,Alachua,Kentucky,Cubana,orion,California","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present",Naturally infected,,"Culture-based,Enrichment methods,Other",,,
5033,"SarahTotton,Ellen_Vriezen",3,1997,Canada,North America,Diagnostic test evaluation,Yes,Not specified,Not Reported,S. Infantis,"Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Anatum,Infantis,Typhimurium,Heidelberg,Meleagridis,Alachua,Kentucky,Cubana,orion,California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"pelleted feed,animal byproducts,soybean meal,Fish meal,Bone meal,Mash,meat meal,Canola meal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Anatum,Infantis,Typhimurium,Heidelberg,Meleagridis,Alachua,Kentucky,Cubana,orion,California","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present",Naturally infected,,"Culture-based,Enrichment methods,Other",,,
5033,"SarahTotton,Ellen_Vriezen",3,1997,Canada,North America,Diagnostic test evaluation,Yes,Not specified,Not Reported,S. Anatum,"Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Anatum,Infantis,Typhimurium,Heidelberg,Meleagridis,Alachua,Kentucky,Cubana,orion,California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"pelleted feed,animal byproducts,soybean meal,Fish meal,Bone meal,Mash,meat meal,Canola meal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Anatum,Infantis,Typhimurium,Heidelberg,Meleagridis,Alachua,Kentucky,Cubana,orion,California","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present",Naturally infected,,"Culture-based,Enrichment methods,Other",,,
5033,"SarahTotton,Ellen_Vriezen",3,1997,Canada,North America,Diagnostic test evaluation,Yes,Not specified,Not Reported,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Anatum,Infantis,Typhimurium,Heidelberg,Meleagridis,Alachua,Kentucky,Cubana,orion,California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"pelleted feed,animal byproducts,soybean meal,Fish meal,Bone meal,Mash,meat meal,Canola meal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Tennessee,Anatum,Infantis,Typhimurium,Heidelberg,Meleagridis,Alachua,Kentucky,Cubana,orion,California","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present",Naturally infected,,"Culture-based,Enrichment methods,Other",,,
19919,SarahTotton,3,1998,USA,North America,Molecular studies,Yes,Not specified,Not Reported,S. Senftenberg,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,Serotype(s) present in food / food environment / food equipment,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",Determining serotypes present,,,,,,Extracted from page 592-595 of the PDF: SALMONELLA SEROTYPES REPORTED DURING JULY 1997 - JUNE 1998.
19919,SarahTotton,3,1998,USA,North America,Molecular studies,Yes,Not specified,Not Reported,S. Mbandaka,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,Serotype(s) present in food / food environment / food equipment,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",Determining serotypes present,,,,,,Extracted from page 592-595 of the PDF: SALMONELLA SEROTYPES REPORTED DURING JULY 1997 - JUNE 1998.
19919,SarahTotton,3,1998,USA,North America,Molecular studies,Yes,Not specified,Not Reported,S. Tennessee,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,Serotype(s) present in food / food environment / food equipment,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",Determining serotypes present,,,,,,Extracted from page 592-595 of the PDF: SALMONELLA SEROTYPES REPORTED DURING JULY 1997 - JUNE 1998.
19919,SarahTotton,3,1998,USA,North America,Molecular studies,Yes,Not specified,Not Reported,S. Montevideo,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,Serotype(s) present in food / food environment / food equipment,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",Determining serotypes present,,,,,,Extracted from page 592-595 of the PDF: SALMONELLA SEROTYPES REPORTED DURING JULY 1997 - JUNE 1998.
19919,SarahTotton,3,1998,USA,North America,Molecular studies,Yes,Not specified,Not Reported,S. Infantis,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,Serotype(s) present in food / food environment / food equipment,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",Determining serotypes present,,,,,,Extracted from page 592-595 of the PDF: SALMONELLA SEROTYPES REPORTED DURING JULY 1997 - JUNE 1998.
19919,SarahTotton,3,1998,USA,North America,Molecular studies,Yes,Not specified,Not Reported,S. Anatum,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,Serotype(s) present in food / food environment / food equipment,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",Determining serotypes present,,,,,,Extracted from page 592-595 of the PDF: SALMONELLA SEROTYPES REPORTED DURING JULY 1997 - JUNE 1998.
19919,SarahTotton,3,1998,USA,North America,Molecular studies,Yes,Not specified,Not Reported,S. Agona,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,Serotype(s) present in food / food environment / food equipment,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",Determining serotypes present,,,,,,Extracted from page 592-595 of the PDF: SALMONELLA SEROTYPES REPORTED DURING JULY 1997 - JUNE 1998.
19919,SarahTotton,3,1998,USA,North America,Molecular studies,Yes,Not specified,Not Reported,S. Typhimurium,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,Serotype(s) present in food / food environment / food equipment,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",Determining serotypes present,,,,,,Extracted from page 592-595 of the PDF: SALMONELLA SEROTYPES REPORTED DURING JULY 1997 - JUNE 1998.
19919,SarahTotton,3,1998,USA,North America,Molecular studies,Yes,Not specified,Not Reported,S. Livingstone,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,Serotype(s) present in food / food environment / food equipment,"Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Typhimurium,Havana,Soerenga,Molade,Kentucky,Uganda,cerro,Oranienburg,Arkansas,Gaminara,Livingstone,Muenster,Pomona,Worthington,Binza,Dublin,drypool,Minneapolis,SAL 50.D-Z8",Determining serotypes present,,,,,,Extracted from page 592-595 of the PDF: SALMONELLA SEROTYPES REPORTED DURING JULY 1997 - JUNE 1998.
4885,"SarahTotton,Mikalya_Plishka",3,1998,Canada,North America,Diagnostic test evaluation,Yes,Not specified,Not Reported,S. Senftenberg,"Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",Naturally infected,,"Culture-based,Enrichment methods,Other",,,Sensitivity and specificity were other reported outcomes.
4885,"SarahTotton,Mikalya_Plishka",3,1998,Canada,North America,Diagnostic test evaluation,Yes,Not specified,Not Reported,S. Mbandaka,"Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",Naturally infected,,"Culture-based,Enrichment methods,Other",,,Sensitivity and specificity were other reported outcomes.
4885,"SarahTotton,Mikalya_Plishka",3,1998,Canada,North America,Diagnostic test evaluation,Yes,Not specified,Not Reported,S. Tennessee,"Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",Naturally infected,,"Culture-based,Enrichment methods,Other",,,Sensitivity and specificity were other reported outcomes.
4885,"SarahTotton,Mikalya_Plishka",3,1998,Canada,North America,Diagnostic test evaluation,Yes,Not specified,Not Reported,S. Infantis,"Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",Naturally infected,,"Culture-based,Enrichment methods,Other",,,Sensitivity and specificity were other reported outcomes.
4885,"SarahTotton,Mikalya_Plishka",3,1998,Canada,North America,Diagnostic test evaluation,Yes,Not specified,Not Reported,S. Anatum,"Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",Naturally infected,,"Culture-based,Enrichment methods,Other",,,Sensitivity and specificity were other reported outcomes.
4885,"SarahTotton,Mikalya_Plishka",3,1998,Canada,North America,Diagnostic test evaluation,Yes,Not specified,Not Reported,S. Agona,"Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",Naturally infected,,"Culture-based,Enrichment methods,Other",,,Sensitivity and specificity were other reported outcomes.
4885,"SarahTotton,Mikalya_Plishka",3,1998,Canada,North America,Diagnostic test evaluation,Yes,Not specified,Not Reported,S. Typhimurium,"Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",Naturally infected,,"Culture-based,Enrichment methods,Other",,,Sensitivity and specificity were other reported outcomes.
4885,"SarahTotton,Mikalya_Plishka",3,1998,Canada,North America,Diagnostic test evaluation,Yes,Not specified,Not Reported,S. Livingstone,"Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Heidelberg,Alachua,Kentucky,cerro,Cubana,Livingstone,Muenster,orion,California,Java","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",Naturally infected,,"Culture-based,Enrichment methods,Other",,,Sensitivity and specificity were other reported outcomes.
939,"Ellen_Vriezen,Mikalya_Plishka",3,2018,USA,North America,Laboratory study (experimental),Yes,Not specified,Not Reported,S. Senftenberg,"Senftenberg,Tennessee,Montevideo,Schwarzewngrund,Infantis,Enteritidis,Typhimurium,Heidelberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,animal byproducts,"Survival time,Serotype(s) present in food / food environment / food equipment","Senftenberg,Tennessee,Montevideo,Schwarzewngrund,Infantis,Enteritidis,Typhimurium,Heidelberg",Development of validation of methods for detection of Salmonella,Deliberately innoculated,,Enrichment methods,,,
939,"Ellen_Vriezen,Mikalya_Plishka",3,2018,USA,North America,Laboratory study (experimental),Yes,Not specified,Not Reported,S. Montevideo,"Senftenberg,Tennessee,Montevideo,Schwarzewngrund,Infantis,Enteritidis,Typhimurium,Heidelberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,animal byproducts,"Survival time,Serotype(s) present in food / food environment / food equipment","Senftenberg,Tennessee,Montevideo,Schwarzewngrund,Infantis,Enteritidis,Typhimurium,Heidelberg",Development of validation of methods for detection of Salmonella,Deliberately innoculated,,Enrichment methods,,,
939,"Ellen_Vriezen,Mikalya_Plishka",3,2018,USA,North America,Laboratory study (experimental),Yes,Not specified,Not Reported,S. Tennessee,"Senftenberg,Tennessee,Montevideo,Schwarzewngrund,Infantis,Enteritidis,Typhimurium,Heidelberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,animal byproducts,"Survival time,Serotype(s) present in food / food environment / food equipment","Senftenberg,Tennessee,Montevideo,Schwarzewngrund,Infantis,Enteritidis,Typhimurium,Heidelberg",Development of validation of methods for detection of Salmonella,Deliberately innoculated,,Enrichment methods,,,
939,"Ellen_Vriezen,Mikalya_Plishka",3,2018,USA,North America,Laboratory study (experimental),Yes,Not specified,Not Reported,S. Infantis,"Senftenberg,Tennessee,Montevideo,Schwarzewngrund,Infantis,Enteritidis,Typhimurium,Heidelberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,animal byproducts,"Survival time,Serotype(s) present in food / food environment / food equipment","Senftenberg,Tennessee,Montevideo,Schwarzewngrund,Infantis,Enteritidis,Typhimurium,Heidelberg",Development of validation of methods for detection of Salmonella,Deliberately innoculated,,Enrichment methods,,,
939,"Ellen_Vriezen,Mikalya_Plishka",3,2018,USA,North America,Laboratory study (experimental),Yes,Not specified,Not Reported,S. Typhimurium,"Senftenberg,Tennessee,Montevideo,Schwarzewngrund,Infantis,Enteritidis,Typhimurium,Heidelberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,animal byproducts,"Survival time,Serotype(s) present in food / food environment / food equipment","Senftenberg,Tennessee,Montevideo,Schwarzewngrund,Infantis,Enteritidis,Typhimurium,Heidelberg",Development of validation of methods for detection of Salmonella,Deliberately innoculated,,Enrichment methods,,,
939,"Ellen_Vriezen,Mikalya_Plishka",3,2018,USA,North America,Laboratory study (experimental),Yes,Not specified,Not Reported,S. Enteritidis,"Senftenberg,Tennessee,Montevideo,Schwarzewngrund,Infantis,Enteritidis,Typhimurium,Heidelberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,animal byproducts,"Survival time,Serotype(s) present in food / food environment / food equipment","Senftenberg,Tennessee,Montevideo,Schwarzewngrund,Infantis,Enteritidis,Typhimurium,Heidelberg",Development of validation of methods for detection of Salmonella,Deliberately innoculated,,Enrichment methods,,,
8706,"SarahTotton,Ellen_Vriezen",3,2007,Canada,North America,Laboratory study (experimental),Yes,Not specified,Not Reported,S. Typhimurium,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,animal byproducts,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,"heat, radiation",
5658,"SarahTotton,Ellen_Vriezen",3,2005,USA,North America,Laboratory study (experimental),Yes,Not specified,Not Reported,S. Typhimurium,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,Fish meal,"Concentration,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,radiofrequency heating,
12709,"SarahTotton,Ellen_Vriezen",3,2016,Brazil,South America,Laboratory study (experimental),Yes,Not specified,Cattle or Buffalo,S. Typhimurium,"Enteritidis,Typhimurium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,Colostrum,"Concentration,Survival time,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Enteritidis,Typhimurium","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,fermentation,
12709,"SarahTotton,Ellen_Vriezen",3,2016,Brazil,South America,Laboratory study (experimental),Yes,Not specified,Cattle or Buffalo,S. Enteritidis,"Enteritidis,Typhimurium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,Colostrum,"Concentration,Survival time,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Enteritidis,Typhimurium","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,fermentation,
510,"Ellen_Vriezen,Mikalya_Plishka",3,2019,Brazil,South America,Laboratory study (experimental),Yes,Not specified,Poultry,S. Enteritidis,Enteritidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicken, not further specified",feed,Commercial feed,Concentration,Enteritidis,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,natural antimicrobials,
2673,"SarahTotton,Mikalya_Plishka",3,2011,Argentina,South America,Diagnostic test evaluation,Yes,Not specified,Poultry,S. Typhimurium,"Enteritidis,Typhimurium,Gallinarum,Kentucky,pullorum,Livingstone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,not reported,"None of the above,Serotype(s) present in food / food environment / food equipment","Enteritidis,Typhimurium,Gallinarum,Kentucky,pullorum,Livingstone",Development of validation of methods for detection of Salmonella,Deliberately innoculated,,"Culture-based,DNA-based",,,"Outcomes were accuracy, sensitivity, Sp, positive predictive value, and negative predicitve value The heat injury part of the study did not involve feed."
