Refid,country,continent,st_design,setting1,setting,species,species1,species2,,plant_species,plant_species,trans_species,retail_species,farm_species,NR_species
5230,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,Broiler chickens
5270,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,Broiler chickens,,,,,,,Not reported
5724,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,Laying hens,,,,,,,"Cattle, not further specified,Swine,Chicken, not further specified,Turkeys,Other farmed poultry,Not reported"
9954,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,Not reported
10150,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,Broiler chickens,,,,,,,"Chicken, not further specified"
11574,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,Not reported
13027,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,Broiler chickens,,,,,,,Not reported
16038,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,Broiler chickens,,,,,,,Not reported
10492,Not reported,Not Reported,Single group observational,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,"Poultry, not further specified"
18294,Not reported,Not Reported,Single group observational,Not specified,Not Specified,Poultry,Poultry,Broiler chickens,,,,,,,Not reported
11205,Nigeria,Africa,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Rabbits,Rabbits,Rabbits raised for meat,,,,,,,Not reported
6478,Tunisia,Africa,Laboratory study (experimental),Not specified,Not Specified,Ruminants (Other),Ruminants,"Ruminants, not further specified",,,,,,,Not reported
1206,Poland,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Ruminants (Other),"Ruminants, Swine, Poultry,  Not reported","Ruminants, not further specified,Swine,Poultry, not further specified,Not reported",,,,,,,Broiler chickens
2913,Great Britain,Europe,Analytical observational,"Feed manufacturing plant,On-farm (including farmed fish sites)",Multiple,Ruminants (Other),"Ruminants, Swine, Poultry","Ruminants, not further specified,Swine,Broiler chickens,Laying hens,Poultry, not further specified,Chickens, not further specified,Turkeys",,,,,,,"Chicken, not further specified"
9813,Cyprus,Europe,Challenge trial in natural setting,"Field used to grow animal feeds,Not specified",Multiple,Ruminants (Other),"Sheep, Ruminants","Sheep,Ruminants, not further specified",,,,,,,"Poultry, not further specified,Fish  / shellfish,Not reported"
5299,Sweden,Europe,Single group observational,"Feed manufacturing plant,Feed transportation (e.g. feed trucks)",Multiple,Ruminants (Other),"Ruminants, Swine, Not reported","Not reported, Ruminants, Swine",,,,,,,Laying hens
3075,Great Britain,Europe,Analytical observational,Not specified,Not Specified,Ruminants (Other),"Cattle, Sheep, Ruminants, Swine, Poultry, Not reported","Cattle, not further specified,Sheep,Ruminants, not further specified,Swine,Poultry, not further specified,Not reported",,,,,,,Not reported
10379,USA,North America,Diagnostic test evaluation,Not specified,Not Specified,Ruminants (Other),"Ruminants, Swine, Poultry","Ruminants, not further specified,Swine,Poultry, not further specified,Turkeys,Other farmed poultry",,,,,,,Not reported
97,USA,North America,Laboratory study (experimental),On-farm (including farmed fish sites),On-farm,Ruminants (Other),Ruminants,"Ruminants, not further specified",,,,,,,Not reported
9743,Mexico,North America,Laboratory study (experimental),Not specified,Not Specified,Ruminants (Other),Ruminants,"Ruminants, not further specified",,,,,,,Not reported
14516,USA,North America,Laboratory study (experimental),Not specified,Not Specified,Ruminants (Other),Ruminants,"Ruminants, not further specified",,,,,,,Not reported
419,Australia,Oceania,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Ruminants (Other),"Ruminants, Swine, Poultry","Ruminants, not further specified,Swine,Poultry, not further specified",,,,,,,Not reported
5954,Iran,Asia,Laboratory study (experimental),On-farm (including farmed fish sites),On-farm,Sheep,Sheep,Sheep,,,,,,,Swine
22529,Greece,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Sheep,"Cattle, Sheep, Swine","Cattle, not further specified,Sheep,Swine",,,,,,,"Poultry, not further specified,Not reported"
2826,Spain,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Sheep,"Cattle, Sheep, Swine, Poultry, Not reported","Cattle, not further specified,Sheep,Swine,Poultry, not further specified,Not reported",,,,,,,"Chicken, not further specified"
9813,Cyprus,Europe,Challenge trial in natural setting,"Field used to grow animal feeds,Not specified",Multiple,Sheep,"Sheep, Ruminants","Sheep,Ruminants, not further specified",,,,,,,Not reported
3075,Great Britain,Europe,Analytical observational,Not specified,Not Specified,Sheep,"Cattle, Sheep, Ruminants, Swine, Poultry, Not reported","Cattle, not further specified,Sheep,Ruminants, not further specified,Swine,Poultry, not further specified,Not reported",,,,,,,"Poultry, not further specified"
9119,Sweden,Europe,Diagnostic test evaluation,Not specified,Not Specified,Sheep,"Cattle, Sheep, Swine, Poultry","Cattle, not further specified,Sheep,Swine,Laying hens,Chicken, not further specified",,,,,,,Broiler chickens
3211,Spain,Europe,Single group observational,On-farm (including farmed fish sites),On-farm,Sheep,Sheep,Sheep,,,,,,,Not reported
1558,USA,North America,Single group observational,Not specified,Not Specified,Sheep,"Cattle, Sheep, Goats, Swine, Poultry","Dairy cattle,Beef cattle,Sheep,Goats,Swine,Poultry, not further specified",,,,,,,"Poultry, not further specified"
5394,USA,North America,Single group observational,Not specified,Not Specified,Sheep,"Cattle, Sheep, Goat, Swine, Poultry, Not reported","Dairy cattle,Beef cattle,Sheep,Goats,Swine,Poultry, not further specified,Not reported",,,,,,,Goats
1918,Australia,Oceania,Single group observational,On-farm (including farmed fish sites),On-farm,Sheep,"Cattle, Sheep, Goat","Dairy cattle,Sheep,Goats",,,,,,,Laying hens
16047,Not reported,Not Reported,Single group observational,Not specified,Not Specified,Sheep,"Sheep, Goats","Sheep,Goats",,,,,,,Swine
10089,Not reported,Not Reported,Clinical / field trial with natural disease exposure,Field used to grow animal feeds,Field Used to Grow Animal Feeds,Sheep,Sheep,Sheep,,,,,,,Sheep
11428,Not reported,Not Reported,Clinical / field trial with natural disease exposure,Not specified,Not Specified,Sheep,Sheep,Sheep,,,,,,,"Poultry, not further specified"
12695,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Sheep,Sheep,Sheep,,,,,,,Not reported
18165,Nigeria,Africa,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,Sheep
631,South Africa,Africa,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,Broiler chickens
9794,Nigeria,Africa,Laboratory study (experimental),On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,Broiler chickens
9967,Nigeria,Africa,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,"Sheep,Goats"
10234,Israel,Asia,Single group observational,"Field used to grow animal feeds,On-farm (including farmed fish sites)",Multiple,Swine,"Cattle, Swine, Not reported","Not reported, cattle, swine",,,,,,,Broiler chickens
9388,Viet Nam,Asia,Molecular studies,Not specified,Not Specified,Swine,"Swine, Not reported","Swine,Not reported",,,,,,,Beef cattle
5179,"Canada,Great Britain,Israel",Asia,Molecular studies,Not specified,Not Specified,Swine,"Swine, Not reported","Swine,Not reported",,,,,,,Not reported
14663,India,Asia,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,Swine,Swine,,,,,,,Not reported
9585,Thailand,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,"Poultry, not further specified"
2844,South Korea,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,Not reported
4539,South Korea,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,Broiler chickens
123,Viet Nam,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,"Poultry, not further specified"
22529,Greece,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,"Cattle, Sheep, Swine","Cattle, not further specified,Sheep,Swine",,,,,,,Not reported
2008,Norway,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Not reported",,,,,,,Not reported
1206,Poland,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,"Ruminants, Swine, Poultry,  Not reported","Ruminants, not further specified,Swine,Poultry, not further specified,Not reported",,,,,,,Not reported
2826,Spain,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,"Cattle, Sheep, Swine, Poultry, Not reported","Cattle, not further specified,Sheep,Swine,Poultry, not further specified,Not reported",,,,,,,Not reported
9943,United Kingdom,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Not reported",,,,,,,Not reported
3001,Sweden,Europe,Diagnostic test evaluation,Feed manufacturing plant,Feed Manufacturing Plant,Swine,"Swine, Not reported","Swine,Not reported",,,,,,,Not reported
3232,Sweden,Europe,Diagnostic test evaluation,Feed manufacturing plant,Feed Manufacturing Plant,Swine,"Swine, Not reported","Swine,Not reported",,,,,,,Not reported
9684,Hungary,Europe,Laboratory study (experimental),Feed manufacturing plant,Feed Manufacturing Plant,Swine,"Swine, Not reported","Swine,Not reported",,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified,Fish  / shellfish,Not reported"
1487,Serbia,Europe,Laboratory study (experimental),Feed manufacturing plant,Feed Manufacturing Plant,Swine,"Cattle, Swine, Poultry","Cattle, not further specified,Swine,Poultry, not further specified",,,,,,,Not reported
1645,Germany,Europe,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,"Cattle, Swine ","Cattle, not further specified,Swine",,,,,,,Not reported
4251,Switzerland,Europe,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,"Cattle, Swine, Poultry","Dairy cattle,Beef cattle,Swine,Broiler chickens,Laying hens",,,,,,,Not reported
2913,Great Britain,Europe,Analytical observational,"Feed manufacturing plant,On-farm (including farmed fish sites)",Multiple,Swine,"Ruminants, Swine, Poultry","Ruminants, not further specified,Swine,Broiler chickens,Laying hens,Poultry, not further specified,Chickens, not further specified,Turkeys",,,,,,,Not reported
2189,United Kingdom,Europe,Analytical observational,"Field used to grow animal feeds,Feed manufacturing plant,On-farm (including farmed fish sites)",Multiple,Swine,"Cattle, Swine, Not reported","Not reported, cattle, swine",,,,,,,Not reported
9604,Serbia,Europe,Laboratory study (experimental),"Feed manufacturing plant,Not specified",Multiple,Swine,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified, Not reported",,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified,Not reported"
5299,Sweden,Europe,Single group observational,"Feed manufacturing plant,Feed transportation (e.g. feed trucks)",Multiple,Swine,"Ruminants, Swine, Not reported","Not reported, Ruminants, Swine",,,,,,,Not reported
16446,Belgium,Europe,Analytical observational,Not specified,Not Specified,Swine,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Broiler chickens,Poultry, not further specified,Not reported",,,,,,,Not reported
18279,Belgium,Europe,Analytical observational,Not specified,Not Specified,Swine,"Swine, Poultry, Not reported","Swine,Broiler chickens,Laying hens,Not reported",,,,,,,"Broiler chickens,Laying hens"
3075,Great Britain,Europe,Analytical observational,Not specified,Not Specified,Swine,"Cattle, Sheep, Ruminants, Swine, Poultry, Not reported","Cattle, not further specified,Sheep,Ruminants, not further specified,Swine,Poultry, not further specified,Not reported",,,,,,,Not reported
9292,Poland,Europe,Analytical observational,Not specified,Not Specified,Swine,"Cattle, Swine, Poultry, Fish, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Fish  / shellfish,Not reported",,,,,,,Not reported
9119,Sweden,Europe,Diagnostic test evaluation,Not specified,Not Specified,Swine,"Cattle, Sheep, Swine, Poultry","Cattle, not further specified,Sheep,Swine,Laying hens,Chicken, not further specified",,,,,,,Not reported
2295,Sweden,Europe,Laboratory study (experimental),Not specified,Not Specified,Swine,"Swine, Not reported","Swine,Not reported",,,,,,,Not reported
9257,Serbia,Europe,Molecular studies,Not specified,Not Specified,Swine,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Not reported",,,,,,,"Cattle, not further specified"
5179,"Canada,Great Britain,Israel",Europe,Molecular studies,Not specified,Not Specified,Swine,"Swine, Not reported","Swine,Not reported",,,,,,,Not reported
3043,Sweden,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,Swine,Swine,,,,,,,Not reported
4250,Belgium,Europe,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,Swine,Swine,,,,,,,"Poultry, not further specified"
16079,Germany,Europe,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,Swine,Swine,,,,,,,Not reported
1704,Ireland,Europe,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,Swine,Swine,,,,,,,Not reported
9109,Serbia,Europe,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,Swine,Swine,,,,,,,"Swine,Not reported"
3924,Switzerland,Europe,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,Swine,Swine,,,,,,,Not reported
4586,Greece,Europe,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,Not reported
3514,Ireland,Europe,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,Not reported
2711,Portugal,Europe,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,Not reported
9104,Serbia,Europe,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,"Cattle, not further specified,Sheep,Swine,Laying hens,Chicken, not further specified"
9744,Serbia,Europe,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,Not reported
3801,Sweden,Europe,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,Not reported
11474,Germany,Europe,Molecular studies,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,"Ruminants, not further specified"
3910,Belgium,Europe,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,Laying hens
4696,Germany,Europe,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,Swine
17143,Great Britain,Europe,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,Swine
9812,United Kingdom,Europe,Analytical observational,Not specified,Not Specified,Swine,Swine,Swine,,,,,,,Not reported
4181,United Kingdom,Europe,Laboratory study (experimental),Not specified,Not Specified,Swine,Swine,Swine,,,,,,,Broiler chickens
1537,Costa Rica,North America,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,"Swine, Poultry, Not reported","Swine,Poultry, not further specified,Not reported",,,,,,,"Dairy cattle,Beef cattle,Sheep,Goats,Swine,Poultry, not further specified"
1621,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,"Cattle, Goat, Swine, Poultry","Cattle, not further specified,Goats,Swine,Broiler chickens,Laying hens",,,,,,,"Poultry, not further specified"
13916,USA,North America,Analytical observational,"Field used to grow animal feeds,On-farm (including farmed fish sites)",Multiple,Swine,"Cattle, Swine, Poultry","Dairy cattle,Beef cattle,Swine,Poultry, not further specified",,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified"
5729,USA,North America,Diagnostic test evaluation,"Animal feed at retail,On-farm (including farmed fish sites)",Multiple,Swine,"Cattle, Swine, Poultry","Cattle, not further specified,Swine,Poultry, not further specified,Turkeys,Other farmed poultry,Not reported",,,,,,,Not reported
2494,USA,North America,Analytical observational,Not specified,Not Specified,Swine,"Cattle, Swine, Poultry","Cattle, not further specified,Swine,Poultry, not further specified",,,,,,,Not reported
4206,USA,North America,Diagnostic test evaluation,Not specified,Not Specified,Swine,"Cattle, Swine, Poultry","Dairy cattle,Swine,Poultry, not further specified",,,,,,,"Cattle, not further specified"
9297,USA,North America,Diagnostic test evaluation,Not specified,Not Specified,Swine,"Swine, Poultry","Swine,Broiler chickens,Laying hens",,,,,,,"Dairy cattle,Swine,Poultry, not further specified"
10379,USA,North America,Diagnostic test evaluation,Not specified,Not Specified,Swine,"Ruminants, Swine, Poultry","Ruminants, not further specified,Swine,Poultry, not further specified,Turkeys,Other farmed poultry",,,,,,,"Poultry, not further specified"
1558,USA,North America,Single group observational,Not specified,Not Specified,Swine,"Cattle, Sheep, Goats, Swine, Poultry","Dairy cattle,Beef cattle,Sheep,Goats,Swine,Poultry, not further specified",,,,,,,"Poultry, not further specified"
5394,USA,North America,Single group observational,Not specified,Not Specified,Swine,"Cattle, Sheep, Goat, Swine, Poultry, Not reported","Dairy cattle,Beef cattle,Sheep,Goats,Swine,Poultry, not further specified,Not reported",,,,,,,"Poultry, not further specified"
5179,"Canada,Great Britain,Israel",North America,Molecular studies,Not specified,Not Specified,Swine,"Swine, Not reported","Swine,Not reported",,,,,,,"Dairy cattle,Beef cattle,Sheep,Goats,Swine,Poultry, not further specified,Not reported"
114,USA,North America,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,Swine,Swine,,,,,,,Not reported
723,USA,North America,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,Swine,Swine,,,,,,,"Broiler chickens,Poultry, not further specified"
731,USA,North America,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,Swine,Swine,,,,,,,"Swine,Broiler chickens,Laying hens"
332,USA,North America,Molecular studies,Feed manufacturing plant,Feed Manufacturing Plant,Swine,Swine,Swine,,,,,,,"Poultry, not further specified"
801,USA,North America,Molecular studies,Feed manufacturing plant,Feed Manufacturing Plant,Swine,Swine,Swine,,,,,,,"Poultry, not further specified"
12183,USA,North America,Analytical observational,Feed transportation (e.g. feed trucks),Feed Transportation,Swine,Swine,Swine,,,,,,,"Ruminants, not further specified,Swine,Poultry, not further specified,Turkeys,Other farmed poultry"
2218,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,Broiler chickens
3894,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,"Poultry, not further specified"
5098,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,"Ruminants, not further specified"
7804,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,Not reported
2055,USA,North America,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,"Cattle, not further specified,Swine"
11499,Canada,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,,"Swine,Not reported"
3501,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,Broiler chickens,
4348,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,Broiler chickens,
4509,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,Laying hens,
5006,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,Laying hens,
19359,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,"Dairy cattle,Sheep,Goats",
3947,Mexico,North America,Laboratory study (experimental),Not specified,Not Specified,Swine,Swine,Swine,,,,,,Dairy cattle,
419,Australia,Oceania,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Swine,"Ruminants, Swine, Poultry","Ruminants, not further specified,Swine,Poultry, not further specified",,,,,,Broiler chickens,
1846,Brazil,South America,Molecular studies,Feed manufacturing plant,Feed Manufacturing Plant,Swine,Swine,Swine,,,,,,Broiler chickens,
383,Brazil,South America,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,Fish  / shellfish,
4476,Brazil,South America,Molecular studies,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,Broiler chickens,
368,Brazil,South America,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,Broiler chickens,
2653,Brazil,South America,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,Swine,
10414,Ecuador,South America,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,Broiler chickens,
13904,Brazil,South America,Diagnostic test evaluation,Not specified,Not Specified,Swine,Swine,Swine,,,,,,"Broiler chickens,Other farmed poultry",
944,Not reported,Not Reported,Laboratory study (experimental),Animal feed at retail,Retail,Swine,"Cattle, Swine, Poultry","Cattle, not further specified,Swine,Chickens, not further specified",,,,,,Swine,
2809,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Swine,"Swine, Not reported","Swine,Not reported",,,,,,Swine,
4654,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Swine,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Chicken, not further specified,Turkeys,Other farmed poultry,Not reported",,,,,,Broiler chickens,
5365,Not reported,Not Reported,Laboratory study (experimental),Feed manufacturing plant,Feed Manufacturing Plant,Swine,Swine,Swine,,,,,,Swine,
2890,Not reported,Not Reported,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,Other farmed poultry,
9120,Not reported,Not Reported,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,Swine,
11861,Not reported,Not Reported,Analytical observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,Fish  / shellfish,
603,Not reported,Not Reported,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,Laying hens,
4613,Not reported,Not Reported,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,Not reported,
11379,Not reported,Not Reported,Single group observational,On-farm (including farmed fish sites),On-farm,Swine,Swine,Swine,,,,,,Laying hens,
3893,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Swine,Swine,Swine,,,,,,"Cattle, not further specified",
4352,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Swine,Swine,Swine,,,,,,Turkeys,
9447,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Swine,Swine,Swine,,,,,,"Broiler chickens,Laying hens,Chickens, not further specified,Turkeys",
11411,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Swine,Swine,Swine,,,,,,Not reported,
2572,Namibia,Africa,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Swine,
1693,South Africa,Africa,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,"Cattle, not further specified",
10661,Egypt,Africa,Laboratory study (experimental),On-farm (including farmed fish sites),On-farm,Not Reported,Not reported,Not reported,,,,,,"Chickens, not further specified",
163,Kenya,Africa,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Chickens, not further specified",
10234,Israel,Asia,Single group observational,"Field used to grow animal feeds,On-farm (including farmed fish sites)",Multiple,Not Reported,"Cattle, Swine, Not reported","Not reported, cattle, swine",,,,,,Laying hens,
9388,Viet Nam,Asia,Molecular studies,Not specified,Not Specified,Not Reported,"Swine, Not reported","Swine,Not reported",,,,,,Fish  / shellfish,
5179,"Canada,Great Britain,Israel",Asia,Molecular studies,Not specified,Not Specified,Not Reported,"Swine, Not reported","Swine,Not reported",,,,,,Dairy cattle,
1689,China,Asia,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Laying hens,
10012,China,Asia,Diagnostic test evaluation,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Laying hens,
359,India,Asia,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Laying hens,
3716,Japan,Asia,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
9266,Turkey,Asia,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Laying hens,
17334,India,Asia,Single group observational,Field used to grow animal feeds,Field Used to Grow Animal Feeds,Not Reported,Not reported,Not reported,,,,,,Laying hens,
10163,Jordan,Asia,Diagnostic test evaluation,On-farm (including farmed fish sites),On-farm,Not Reported,Not reported,Not reported,,,,,,Laying hens,
2783,Taiwan,Asia,Laboratory study (experimental),On-farm (including farmed fish sites),On-farm,Not Reported,Not reported,Not reported,,,,,,Not reported,
20129,Japan,Asia,Molecular studies,On-farm (including farmed fish sites),On-farm,Not Reported,Not reported,Not reported,,,,,,Swine,
1376,China,Asia,Single group observational,"Feed manufacturing plant,Animal feed at retail,On-farm (including farmed fish sites)",Multiple,Not Reported,Not reported,Not reported,,,,,,Not reported,
18210,Saudi Arabia,Asia,Analytical observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
1624,China,Asia,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
17420,Pakistan,Asia,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
3271,South Korea,Asia,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Poultry, not further specified",
9442,South Korea,Asia,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Chickens, not further specified",
3829,Thailand,Asia,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Chickens, not further specified",
17501,India,Asia,Single group observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
7921,South Korea,Asia,Single group observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
2700,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa",Asia,Molecular studies,Feed transportation (e.g. feed trucks),Feed Transportation,Not Reported,Not reported,Not reported,,,,,,Laying hens,
719,"Germany,Poland,Brazil,Italy,India,The Netherlands,Argentina",Asia,Single group observational,Animal feed at retail,Retail,Not Reported,Not reported,Not reported,,,,,,Swine,
2008,Norway,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Not reported",,,,,,Swine,
1206,Poland,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,"Ruminants, Swine, Poultry,  Not reported","Ruminants, not further specified,Swine,Poultry, not further specified,Not reported",,,,,,"Poultry, not further specified",
2826,Spain,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,"Cattle, Sheep, Swine, Poultry, Not reported","Cattle, not further specified,Sheep,Swine,Poultry, not further specified,Not reported",,,,,,"Broiler chickens,Laying hens",
5023,United Kingdom,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,"Poultry, Not reported","Poultry, not further specified,Not reported",,,,,,Turkeys,
